epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr,timestamp
1,0.877509,0.699193,0.705567,0.751567,0.00100000,2025-12-16T15:27:48
2,0.614963,0.779580,0.558187,0.799090,0.00100000,2025-12-16T15:39:45
